quote_check_rank,candidate_or_concept_id,entry_type,sport,event,market_selection,line_or_alternatives,why_quote_check_matters,price_sensitivity,minimum_acceptable_odds_if_calculable,superbet_event_found,market_found,exact_line,decimal_odds,timestamp_europe_warsaw,visible_bet_builder_combined_odds,final_manual_status
1,analysis_basketball_austria_vs_poland_2026_07_03t160000_0000_totals_line_sensitive_unpriced,candidate,basketball,Austria vs Poland,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
2,analysis_basketball_belgium_vs_france_2026_07_03t183000_0000_totals_line_sensitive_unpriced,candidate,basketball,Belgium vs France,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
3,analysis_basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000_totals_line_sensitive_unpriced,candidate,basketball,Canterbury Rams vs Manawatu Jets,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
4,analysis_basketball_china_vs_japan_2026_07_03t113000_0000_totals_line_sensitive_unpriced,candidate,basketball,China vs Japan,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
5,analysis_basketball_finland_vs_hungary_2026_07_03t153000_0000_totals_line_sensitive_unpriced,candidate,basketball,Finland vs Hungary,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
6,analysis_basketball_israel_vs_germany_2026_07_03t170000_0000_totals_line_sensitive_unpriced,candidate,basketball,Israel vs Germany,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
7,analysis_basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000_totals_line_sensitive_unpriced,candidate,basketball,Korea Republic vs Chinese Taipei,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
8,analysis_basketball_netherlands_vs_latvia_2026_07_03t173000_0000_totals_line_sensitive_unpriced,candidate,basketball,Netherlands vs Latvia,Total points - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
9,analysis_cs2_big_vs_mibr_2026_07_03t080000_0000_total_maps_line_sensitive_unpriced,candidate,cs2,BIG vs MIBR,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
10,analysis_cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000_total_maps_line_sensitive_unpriced,candidate,cs2,BetBoom Team vs Team Nemesis,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
11,analysis_cs2_faze_vs_sinners_2026_07_03t130000_0000_total_maps_line_sensitive_unpriced,candidate,cs2,FaZe vs Sinners,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
12,analysis_cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000_total_maps_line_sensitive_unpriced,candidate,cs2,PARIVISION vs Lynn Vision,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
